speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
y00475,American Coot,Fulica americana,L5631262,US-Wisconsin-Lone Rock-12797 Laudon Road - 43.176x-90.164,2026-03-25 23:29,50.0,43.1761357,-90.1643923,True,False,True,S313040293,
norsho,Northern Shoveler,Spatula clypeata,L5631262,US-Wisconsin-Lone Rock-12797 Laudon Road - 43.176x-90.164,2026-03-25 23:29,4.0,43.1761357,-90.1643923,True,False,True,S313040293,
comgra,Common Grackle,Quiscalus quiscula,L5631262,US-Wisconsin-Lone Rock-12797 Laudon Road - 43.176x-90.164,2026-03-25 23:29,1.0,43.1761357,-90.1643923,True,False,True,S313040293,
cangoo,Canada Goose,Branta canadensis,L5631262,US-Wisconsin-Lone Rock-12797 Laudon Road - 43.176x-90.164,2026-03-25 23:29,40.0,43.1761357,-90.1643923,True,False,True,S313040293,
pibgre,Pied-billed Grebe,Podilymbus podiceps,L5631262,US-Wisconsin-Lone Rock-12797 Laudon Road - 43.176x-90.164,2026-03-25 23:29,1.0,43.1761357,-90.1643923,True,False,True,S313040293,
mallar3,Mallard,Anas platyrhynchos,L390790,St. Vrain SP,2026-03-25 23:26,1.0,40.1679295,-104.9888563,True,False,False,S313179505,
killde,Killdeer,Charadrius vociferus,L390790,St. Vrain SP,2026-03-25 23:26,2.0,40.1679295,-104.9888563,True,False,False,S313179505,
bewwre,Bewick's Wren,Thryomanes bewickii,L39386387,Kathleen’s Resort,2026-03-25 22:57,1.0,32.960245,-97.111458,True,False,True,S313173189,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L39386387,Kathleen’s Resort,2026-03-25 22:57,1.0,32.960245,-97.111458,True,False,True,S313173189,
carwre,Carolina Wren,Thryothorus ludovicianus,L39386387,Kathleen’s Resort,2026-03-25 22:57,1.0,32.960245,-97.111458,True,False,True,S313173189,
tuftit,Tufted Titmouse,Baeolophus bicolor,L39386387,Kathleen’s Resort,2026-03-25 22:57,1.0,32.960245,-97.111458,True,False,True,S313173189,
baleag,Bald Eagle,Haliaeetus leucocephalus,L39386387,Kathleen’s Resort,2026-03-25 22:57,1.0,32.960245,-97.111458,True,False,True,S313173189,
norcar,Northern Cardinal,Cardinalis cardinalis,L39386387,Kathleen’s Resort,2026-03-25 22:57,1.0,32.960245,-97.111458,True,False,True,S313173189,
belkin1,Belted Kingfisher,Megaceryle alcyon,L39386387,Kathleen’s Resort,2026-03-25 22:57,1.0,32.960245,-97.111458,True,False,True,S313173189,
amwpel,American White Pelican,Pelecanus erythrorhynchos,L5660208,"US-Wisconsin-Spring Green - 43.179x-90.139 - Apr 6, 2017 8:22 AM",2026-03-25 22:30,11.0,43.1786753,-90.1389364,True,False,True,S313041025,
yerwar,Yellow-rumped Warbler,Setophaga coronata,L12645672,FWB Sports Complex,2026-03-25 22:27,1.0,30.414782,-86.622736,True,False,False,S313170894,
sctfly,Scissor-tailed Flycatcher,Tyrannus forficatus,L61034694,Camp site,2026-03-25 22:26,1.0,31.4736,-100.500729,True,False,True,S313175898,
easblu,Eastern Bluebird,Sialia sialis,L61032204,Home,2026-03-25 22:20,2.0,35.115623,-85.288575,True,False,True,S313164792,
sonspa,Song Sparrow,Melospiza melodia,L679376,Lower Wisconsin SR--Helena Unit,2026-03-25 22:17,1.0,43.1666212,-90.036757,True,False,False,S313041225,
amecro,American Crow,Corvus brachyrhynchos,L15302125,Calgary--Walden Community Ponds,2026-03-25 22:16,1.0,50.869128,-114.0256539,True,False,False,S313173190,
bkbmag1,Black-billed Magpie,Pica hudsonia,L15302125,Calgary--Walden Community Ponds,2026-03-25 22:16,1.0,50.869128,-114.0256539,True,False,False,S313173190,
amerob,American Robin,Turdus migratorius,L15302125,Calgary--Walden Community Ponds,2026-03-25 22:16,1.0,50.869128,-114.0256539,True,False,False,S313173190,
cedwax,Cedar Waxwing,Bombycilla cedrorum,L61033172,"Interstate 80, Gothenburg, Nebraska, US (40.989, -100.314)",2026-03-25 22:12,50.0,40.98924,-100.3144021,True,False,True,S313169281,
wiltur,Wild Turkey,Meleagris gallopavo,L61033172,"Interstate 80, Gothenburg, Nebraska, US (40.989, -100.314)",2026-03-25 22:12,11.0,40.98924,-100.3144021,True,False,True,S313169281,
sancra,Sandhill Crane,Antigone canadensis,L61033172,"Interstate 80, Gothenburg, Nebraska, US (40.989, -100.314)",2026-03-25 22:12,100000.0,40.98924,-100.3144021,True,False,True,S313169281,
cangoo,Canada Goose,Branta canadensis,L26180655,Oak Cres,2026-03-25 22:09,50.0,49.531019,-96.678155,True,False,True,S313168728,
rethaw,Red-tailed Hawk,Buteo jamaicensis,L26180655,Oak Cres,2026-03-25 22:09,1.0,49.531019,-96.678155,True,False,True,S313168728,
houfin,House Finch,Haemorhous mexicanus,L51847081,Home,2026-03-25 21:59,2.0,46.774248,-96.142939,True,False,True,S313168175,N
whbnut,White-breasted Nuthatch,Sitta carolinensis,L51847081,Home,2026-03-25 21:59,3.0,46.774248,-96.142939,True,False,True,S313168175,
amewoo,American Woodcock,Scolopax minor,L61032872,"Heather Drive, Jackson, Wisconsin,",2026-03-25 21:57,2.0,43.3116759,-88.1510447,True,False,True,S313167732,
amegfi,American Goldfinch,Spinus tristis,L43233899,"323 West Main Street, Maple Shade, New Jersey, US (39.955, -75.008)",2026-03-25 21:53,2.0,39.9549238,-75.0080554,True,False,True,S313161766,
bkbmag1,Black-billed Magpie,Pica hudsonia,L36024263,"Boise River, Boise US-ID (43.5615,-116.1224)",2026-03-25 21:37,2.0,43.561544,-116.1224,True,False,True,S313170856,
amekes,American Kestrel,Falco sparverius,L36024263,"Boise River, Boise US-ID (43.5615,-116.1224)",2026-03-25 21:37,1.0,43.561544,-116.1224,True,False,True,S313170856,
turvul,Turkey Vulture,Cathartes aura,L41792061,"1557 Dean Dr, Lansdale US-PA 40.24382, -75.3307",2026-03-25 21:37,,40.243822,-75.330739,True,False,True,S313160096,
norfli,Northern Flicker,Colaptes auratus,L41792061,"1557 Dean Dr, Lansdale US-PA 40.24382, -75.3307",2026-03-25 21:37,,40.243822,-75.330739,True,False,True,S313160096,
calqua,California Quail,Callipepla californica,L36024263,"Boise River, Boise US-ID (43.5615,-116.1224)",2026-03-25 21:37,2.0,43.561544,-116.1224,True,False,True,S313170856,N
rethaw,Red-tailed Hawk,Buteo jamaicensis,L41792061,"1557 Dean Dr, Lansdale US-PA 40.24382, -75.3307",2026-03-25 21:37,,40.243822,-75.330739,True,False,True,S313160096,
daejun,Dark-eyed Junco,Junco hyemalis,L41792061,"1557 Dean Dr, Lansdale US-PA 40.24382, -75.3307",2026-03-25 21:37,,40.243822,-75.330739,True,False,True,S313160096,
whcspa,White-crowned Sparrow,Zonotrichia leucophrys,L36024263,"Boise River, Boise US-ID (43.5615,-116.1224)",2026-03-25 21:37,2.0,43.561544,-116.1224,True,False,True,S313170856,
bnhcow,Brown-headed Cowbird,Molothrus ater,L41792061,"1557 Dean Dr, Lansdale US-PA 40.24382, -75.3307",2026-03-25 21:37,,40.243822,-75.330739,True,False,True,S313160096,
grbher3,Great Blue Heron,Ardea herodias,L248372,Eastwood MetroPark,2026-03-25 21:36,1.0,39.7829568,-84.1329393,True,False,False,S313159364,
pinsis,Pine Siskin,Spinus pinus,L16825396,"1286 Lost Nation Rd, Craftsbury Common US-VT 44.69004, -72.35962",2026-03-25 21:22,1.0,44.690039,-72.359623,True,False,True,S313157610,
ribgul,Ring-billed Gull,Larus delawarensis,L276841,Arena Boat Landing (Iowa Co.),2026-03-25 21:21,1.0,43.186064,-89.9010054,True,False,False,S313042296,
truswa,Trumpeter Swan,Cygnus buccinator,L276841,Arena Boat Landing (Iowa Co.),2026-03-25 21:21,2.0,43.186064,-89.9010054,True,False,False,S313042296,
commer,Common Merganser,Mergus merganser,L276841,Arena Boat Landing (Iowa Co.),2026-03-25 21:21,2.0,43.186064,-89.9010054,True,False,False,S313042296,
blkvul,Black Vulture,Coragyps atratus,L61030320,"1217 79th St S, Saint Petersburg US-FL 27.75781, -82.75183",2026-03-25 21:14,1.0,27.757815,-82.751831,True,False,True,S313156611,
osprey,Osprey,Pandion haliaetus,L61030320,"1217 79th St S, Saint Petersburg US-FL 27.75781, -82.75183",2026-03-25 21:14,1.0,27.757815,-82.751831,True,False,True,S313156611,
ribgul,Ring-billed Gull,Larus delawarensis,L51331017,"Moonglo, Sudbury CA-ON (46.4524,-81.0221)",2026-03-25 21:10,33.0,46.45242,-81.022062,True,False,True,S313160340,
rthhum,Ruby-throated Hummingbird,Archilochus colubris,L61032133,"13324 Rue Maison Blvd, Gonzales US-LA (30.2634,-90.9593)",2026-03-25 21:09,1.0,30.263437,-90.95932,True,False,True,S313164513,
purmar,Purple Martin,Progne subis,L4099609,Wilson College--Fulling Mill Trail,2026-03-25 21:08,1.0,39.9535009,-77.6524278,True,False,False,S313155714,
fiscro,Fish Crow,Corvus ossifragus,L4099609,Wilson College--Fulling Mill Trail,2026-03-25 21:08,1.0,39.9535009,-77.6524278,True,False,False,S313155714,
carchi,Carolina Chickadee,Poecile carolinensis,L4099609,Wilson College--Fulling Mill Trail,2026-03-25 21:08,1.0,39.9535009,-77.6524278,True,False,False,S313155714,
chispa,Chipping Sparrow,Spizella passerina,L40216207,"39452, Lucedale US-MS 30.84583, -88.55187",2026-03-25 21:06,5.0,30.845826,-88.55187,True,False,True,S313165267,
buggna,Blue-gray Gnatcatcher,Polioptila caerulea,L40216207,"39452, Lucedale US-MS 30.84583, -88.55187",2026-03-25 21:06,1.0,30.845826,-88.55187,True,False,True,S313165267,
indbun,Indigo Bunting,Passerina cyanea,L40216207,"39452, Lucedale US-MS 30.84583, -88.55187",2026-03-25 21:06,1.0,30.845826,-88.55187,True,False,True,S313165267,
houwre,Northern House Wren,Troglodytes aedon,L40216207,"39452, Lucedale US-MS 30.84583, -88.55187",2026-03-25 21:06,1.0,30.845826,-88.55187,True,False,True,S313165267,
brdowl,Barred Owl,Strix varia,L53000627,Ferrier Drive,2026-03-25 20:54,1.0,52.3695437,-115.0646706,True,False,True,S313167769,
rehwoo,Red-headed Woodpecker,Melanerpes erythrocephalus,L11839540,St. Augustine Shores,2026-03-25 20:39,2.0,29.8020193,-81.3044727,True,False,False,S313151779,
amewoo,American Woodcock,Scolopax minor,L50497124,"102 French Rd, Digby CA-NS 44.50075, -65.91330",2026-03-25 20:38,1.0,44.50075,-65.913302,True,False,True,S313137082,
rebnut,Red-breasted Nuthatch,Sitta canadensis,L38006990,Grissom Solar Mitigation site VP #1,2026-03-25 20:37,1.0,42.964311,-74.316388,True,False,True,S313150927,
easpho,Eastern Phoebe,Sayornis phoebe,L38006990,Grissom Solar Mitigation site VP #1,2026-03-25 20:37,1.0,42.964311,-74.316388,True,False,True,S313150927,
redcro,Red Crossbill,Loxia curvirostra,L38006990,Grissom Solar Mitigation site VP #1,2026-03-25 20:37,1.0,42.964311,-74.316388,True,False,True,S313150927,
turvul,Turkey Vulture,Cathartes aura,L11140911,Orleans,2026-03-25 20:36,2.0,45.4599594,-75.520471,True,False,True,S313150326,
norcar,Northern Cardinal,Cardinalis cardinalis,L19863214,Parc linéaire de la Falaise St-Jacques,2026-03-25 20:36,1.0,45.460415,-73.620474,True,False,False,S313151123,
daejun,Dark-eyed Junco,Junco hyemalis,L19863214,Parc linéaire de la Falaise St-Jacques,2026-03-25 20:36,2.0,45.460415,-73.620474,True,False,False,S313151123,
whbnut,White-breasted Nuthatch,Sitta carolinensis,L19863214,Parc linéaire de la Falaise St-Jacques,2026-03-25 20:36,2.0,45.460415,-73.620474,True,False,False,S313151123,
amegfi,American Goldfinch,Spinus tristis,L19863214,Parc linéaire de la Falaise St-Jacques,2026-03-25 20:36,5.0,45.460415,-73.620474,True,False,False,S313151123,
houfin,House Finch,Haemorhous mexicanus,L19863214,Parc linéaire de la Falaise St-Jacques,2026-03-25 20:36,5.0,45.460415,-73.620474,True,False,False,S313151123,N
grnher,Green Heron,Butorides virescens,L61029119,Shore Acres,2026-03-25 20:34,1.0,27.821447,-82.604648,True,False,True,S313150933,
bcnher,Black-crowned Night Heron,Nycticorax nycticorax,L61029119,Shore Acres,2026-03-25 20:34,1.0,27.821447,-82.604648,True,False,True,S313150933,
rosspo1,Roseate Spoonbill,Platalea ajaja,L61029119,Shore Acres,2026-03-25 20:34,1.0,27.821447,-82.604648,True,False,True,S313150933,
yebsap,Yellow-bellied Sapsucker,Sphyrapicus varius,L61029119,Shore Acres,2026-03-25 20:34,1.0,27.821447,-82.604648,True,False,True,S313150933,
brnpel,Brown Pelican,Pelecanus occidentalis,L61029119,Shore Acres,2026-03-25 20:34,1.0,27.821447,-82.604648,True,False,True,S313150933,
woosto,Wood Stork,Mycteria americana,L61029119,Shore Acres,2026-03-25 20:34,1.0,27.821447,-82.604648,True,False,True,S313150933,
wilsni1,Wilson's Snipe,Gallinago delicata,L1383581,20 Queens Drive,2026-03-25 20:32,1.0,43.0393001,-78.946665,True,False,True,S313154292,
spotow,Spotted Towhee,Pipilo maculatus,L1676814,Cimarron NG--Recreation Area,2026-03-25 20:30,2.0,37.1357125,-101.8228497,True,False,False,S313162876,
amerob,American Robin,Turdus migratorius,L60973056,"Las Galeritas, San Sebastián",2026-03-25 20:24,1.0,20.763734,-104.85098,True,False,True,S313165164,
rethaw,Red-tailed Hawk,Buteo jamaicensis,L8870546,Escuela Nacional de Estudios Superiores Unidad Morelia,2026-03-25 20:23,1.0,19.6501455,-101.2229204,True,False,False,S313164863,
hoomer,Hooded Merganser,Lophodytes cucullatus,L55131411,Prairie Lakes,2026-03-25 20:22,8.0,42.479602,-92.459631,True,False,True,S313159030,
greegr,Great Egret,Ardea alba,L61028821,"159 Francis Parker Road, Georgetown, South Carolina, US (33.425, -79.258) Wedgefield Country Club",2026-03-25 20:20,2.0,33.4253543,-79.2576195,True,False,True,S313149481,
comloo,Common Loon,Gavia immer,L1763593,Eagle Creek Park--Ornithology Center (this location only),2026-03-25 20:15,1.0,39.8734638,-86.2969584,True,False,False,S313147126,
bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis,L28364368,Brook Falls Park,2026-03-25 20:15,24.0,29.512955,-98.368483,True,False,False,S313163691,
logshr,Loggerhead Shrike,Lanius ludovicianus,L486781,Big Bend NP--Burro Mesa pouroff,2026-03-25 20:14,1.0,29.2366796,-103.4033203,True,False,False,S313170357,
savspa,Savannah Sparrow,Passerculus sandwichensis,L60814066,House,2026-03-25 20:13,1.0,39.995496,-86.108996,True,False,True,S313146491,
anhing,Anhinga,Anhinga anhinga,L61030293,"Sweetwater Wetlands Park, Gainesville US-FL 29.62116, -82.32386",2026-03-25 20:12,9.0,29.621156,-82.323862,True,False,True,S313156474,
amebit,American Bittern,Botaurus lentiginosus,L4093730,Soos Creek Trail,2026-03-25 20:09,1.0,47.4157759,-122.1584415,True,False,False,S313173540,
barswa,Barn Swallow,Hirundo rustica,L29670699,"2402 Woodfield Boulevard, Franklin, Indiana, US (39.508, -86.079)",2026-03-25 20:09,1.0,39.5079806,-86.079057,True,False,True,S313144973,
mallar3,Mallard,Anas platyrhynchos,L41484875,Waterloo--Meadowsweet Ave Trail Loop,2026-03-25 20:07,3.0,43.4720549,-80.605473,True,False,False,S313146250,
moudov,Mourning Dove,Zenaida macroura,L20615347,Head Of Millstream,2026-03-25 20:05,1.0,45.8843341,-65.5251116,True,False,True,S313128807,
wesmea,Western Meadowlark,Sturnella neglecta,L267708,Cimarron NG--Tunnerville Work Center,2026-03-25 20:04,2.0,37.0492009,-101.8986308,True,False,False,S313155853,
saypho,Say's Phoebe,Sayornis saya,L267708,Cimarron NG--Tunnerville Work Center,2026-03-25 20:04,2.0,37.0492009,-101.8986308,True,False,False,S313155853,
horlar,Horned Lark,Eremophila alpestris,L311600,Andreoff Wildlife Area,2026-03-25 20:03,3.0,40.7623931,-83.505578,True,False,False,S313144434,
grhowl,Great Horned Owl,Bubo virginianus,L29840905,MacFarquhar Farm,2026-03-25 20:01,2.0,51.561016,-114.393298,True,False,True,S313163510,
willet1,Willet,Tringa semipalmata,L60113921,"Brackish tidepool, Sanibel US-FL (26.4499,-82.1438)",2026-03-25 19:58,1.0,26.449878,-82.143771,True,False,True,S313142951,
whfibi,White-faced Ibis,Plegadis chihi,L833823,Aliso Creek--I-5 to Pacific Park Drive,2026-03-25 19:57,3.0,33.5911522,-117.7118591,True,False,False,S313167816,
killde,Killdeer,Charadrius vociferus,L20232756,"1701 Stewart Line, Cavan Monaghan CA-ON 44.25174, -78.41375",2026-03-25 19:56,1.0,44.251745,-78.41375,True,False,True,S313141504,
annhum,Anna's Hummingbird,Calypte anna,L29227927,"23030 276th Avenue Southeast, Maple Valley, Washington, US (47.395, -121.973)",2026-03-25 19:55,1.0,47.3952487,-121.9729273,True,False,True,S313168080,
linspa,Lincoln's Sparrow,Melospiza lincolnii,L27854413,Crescent Bend Nature Park — Cibolo Creek (Guadalupe Co.),2026-03-25 19:55,10.0,29.5546627,-98.2335483,True,False,False,S313154034,
wiltur,Wild Turkey,Meleagris gallopavo,L44013564,"61 Harcourt Rd, Quinte West CA-ON (44.1135,-77.6068)",2026-03-25 19:55,2.0,44.113503,-77.606816,True,False,True,S313141780,N
comrav,Common Raven,Corvus corax,L22528068,Holyrood,2026-03-25 19:54,1.0,53.526068,-113.450573,True,False,True,S313163225,
hoomer,Hooded Merganser,Lophodytes cucullatus,L283710,Calgary--Prince's Island Park,2026-03-25 19:53,3.0,51.0547884,-114.068837,True,False,False,S313169884,
commer,Common Merganser,Mergus merganser,L283710,Calgary--Prince's Island Park,2026-03-25 19:53,15.0,51.0547884,-114.068837,True,False,False,S313169884,
comyel,Common Yellowthroat,Geothlypis trichas,L61029578,"Pier 21, Galveston US-TX 29.31049, -94.79186",2026-03-25 19:53,1.0,29.310486,-94.791862,True,False,True,S313153208,
norsho,Northern Shoveler,Spatula clypeata,L283710,Calgary--Prince's Island Park,2026-03-25 19:53,2.0,51.0547884,-114.068837,True,False,False,S313169884,
sonspa,Song Sparrow,Melospiza melodia,L4904756,Niagara-on-the-Lake--Outlet Collection ponds,2026-03-25 19:52,1.0,43.1559,-79.1769648,True,False,False,S313149016,
incdov,Inca Dove,Columbina inca,L50763182,"246 Minter St, Uvalde US-TX 29.22256, -99.79634",2026-03-25 19:52,2.0,29.22256,-99.796338,True,False,True,S313154445,
brebla,Brewer's Blackbird,Euphagus cyanocephalus,L128907,Big Bend NP--Rio Grande Village (FWTX 44),2026-03-25 19:51,20.0,29.1809226,-102.9557133,True,False,False,S313162794,
baleag,Bald Eagle,Haliaeetus leucocephalus,L344556,Vancouver--Acadia Beach,2026-03-25 19:49,2.0,49.2798288,-123.2429104,True,False,False,S313167262,
spotow,Spotted Towhee,Pipilo maculatus,L344556,Vancouver--Acadia Beach,2026-03-25 19:49,1.0,49.2798288,-123.2429104,True,False,False,S313167262,
moublu,Mountain Bluebird,Sialia currucoides,L52846849,Home,2026-03-25 19:47,1.0,39.359609,-104.808401,True,False,True,S313160734,
grbher3,Great Blue Heron,Ardea herodias,L2568121,Corunna--Guthrie Park,2026-03-25 19:46,1.0,42.9026905,-82.4575424,True,False,False,S313139177,
treswa,Tree Swallow,Tachycineta bicolor,L11276566,"3901 Abbott Glen Court, Crestwood, Kentucky, US (38.312, -85.433)",2026-03-25 19:46,1.0,38.3122559,-85.4325229,True,False,True,S313141399,
bknsti,Black-necked Stilt,Himantopus mexicanus,L241811,El Franco Lee Park,2026-03-25 19:45,5.0,29.594929,-95.2589295,True,False,False,S313158387,
chiswi,Chimney Swift,Chaetura pelagica,L61029687,ETX Brewing Co - Tyler,2026-03-25 19:45,9.0,32.3491274,-95.3004064,True,False,True,S313153803,
hoowar,Hooded Warbler,Setophaga citrina,L241811,El Franco Lee Park,2026-03-25 19:45,1.0,29.594929,-95.2589295,True,False,False,S313158387,
easowl1,Eastern Screech-Owl,Megascops asio,L7663970,Downsview Dells Park,2026-03-25 19:44,2.0,43.7352126,-79.4996667,True,False,False,S313143098,
easpho,Eastern Phoebe,Sayornis phoebe,L7663970,Downsview Dells Park,2026-03-25 19:44,1.0,43.7352126,-79.4996667,True,False,False,S313143098,
goleag,Golden Eagle,Aquila chrysaetos,L505947,80116 - WLD,2026-03-25 19:41,1.0,39.3715304,-104.7806454,True,False,True,S313160643,
bushti,Bushtit,Psaltriparus minimus,L505947,80116 - WLD,2026-03-25 19:41,3.0,39.3715304,-104.7806454,True,False,True,S313160643,
ameavo,American Avocet,Recurvirostra americana,L59962274,Lee Kay Ponds,2026-03-25 19:40,2.0,40.7380106,-112.0346595,True,False,True,S313167154,
wesmea,Western Meadowlark,Sturnella neglecta,L285616,"White Lake, Okanagan Falls",2026-03-25 19:40,3.0,49.3099035,-119.6399117,True,False,False,S313170665,
herthr,Hermit Thrush,Catharus guttatus,L1652988,North San Antonio Hills,2026-03-25 19:39,1.0,29.469856,-98.715316,True,False,True,S313150855,
balori,Baltimore Oriole,Icterus galbula,L225644,"Holt Paradise Pond, Port Aransas",2026-03-25 19:34,1.0,27.8342117,-97.0720157,True,False,False,S313155540,
rudduc,Ruddy Duck,Oxyura jamaicensis,L4026571,Little Punderson Lake,2026-03-25 19:33,4.0,41.4471979,-81.2037492,True,False,False,S313166225,
snoegr,Snowy Egret,Egretta thula,L39966999,Lemon Bay Preserve,2026-03-25 19:31,3.0,26.880129,-82.305504,True,False,True,S313143758,
reshaw,Red-shouldered Hawk,Buteo lineatus,L14039138,Champboisé,2026-03-25 19:31,1.0,45.624384,-75.4421485,True,False,False,S313136503,
casfin,Cassin's Finch,Haemorhous cassinii,L61030670,River Ranch,2026-03-25 19:28,1.0,44.8856759,-116.112861,True,False,True,S313158225,
norbob,Northern Bobwhite,Colinus virginianus,L57924137,Rosita Lake,2026-03-25 19:28,9.0,27.345651,-97.776661,True,False,False,S313150983,
perfal,Peregrine Falcon,Falco peregrinus,L4312241,Cornell University--Arts Quad,2026-03-25 19:27,1.0,42.4486364,-76.4844346,True,False,False,S313134241,
wooduc,Wood Duck,Aix sponsa,L2489743,Concession Rd #2 at the north end,2026-03-25 19:27,1.0,44.1581632,-79.481492,True,False,True,S313139478,
vigswa,Violet-green Swallow,Tachycineta thalassina,L13392272,Home Yard,2026-03-25 19:26,22.0,48.7718983,-122.4178453,True,False,True,S313165186,
bargol,Barrow's Goldeneye,Bucephala islandica,L344556,Vancouver--Acadia Beach,2026-03-25 19:26,20.0,49.2798288,-123.2429104,True,False,False,S313169681,
grycat,Gray Catbird,Dumetella carolinensis,L29937714,Home,2026-03-25 19:26,1.0,27.1434394,-82.4495306,True,False,True,S313137648,
grcfly,Great Crested Flycatcher,Myiarchus crinitus,L29937714,Home,2026-03-25 19:26,1.0,27.1434394,-82.4495306,True,False,True,S313137648,
bargol,Barrow's Goldeneye,Bucephala islandica,L3350751,Seattle Aquarium,2026-03-25 19:22,3.0,47.6074868,-122.34272,True,False,False,S313165868,
comgra,Common Grackle,Quiscalus quiscula,L3386768,Brett & Vicki's,2026-03-25 19:20,12.0,42.0717713,-82.524029,True,False,True,S313143634,
pinsis,Pine Siskin,Spinus pinus,L5513901,Elkford Townsite,2026-03-25 19:20,1.0,50.0226305,-114.9238399,True,False,False,S313164902,
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L3386768,Brett & Vicki's,2026-03-25 19:20,1.0,42.0717713,-82.524029,True,False,True,S313143634,
carwre,Carolina Wren,Thryothorus ludovicianus,L3386768,Brett & Vicki's,2026-03-25 19:20,1.0,42.0717713,-82.524029,True,False,True,S313143634,
norfli,Northern Flicker,Colaptes auratus,L5513901,Elkford Townsite,2026-03-25 19:20,1.0,50.0226305,-114.9238399,True,False,False,S313164902,
acowoo,Acorn Woodpecker,Melanerpes formicivorus,L37281203,"215 Grand Ave, Ojai US-CA (34.4529,-119.2451)",2026-03-25 19:13,1.0,34.452859,-119.245077,True,False,True,S313164483,
ferhaw,Ferruginous Hawk,Buteo regalis,L61029324,"1098-1064 U Road, Richfield, Kansas, US (37.262, -101.864)",2026-03-25 19:12,1.0,37.2617632,-101.864076,True,False,True,S313151942,
blujay,Blue Jay,Cyanocitta cristata,L56294975,Forest Home Area,2026-03-25 19:10,1.0,44.939143,-64.515693,True,False,True,S313113089,
pilwoo,Pileated Woodpecker,Dryocopus pileatus,L56294975,Forest Home Area,2026-03-25 19:10,3.0,44.939143,-64.515693,True,False,True,S313113089,
stejay,Steller's Jay,Cyanocitta stelleri,L737036,Big Cottonwood Canyon--Spruces CG,2026-03-25 19:09,1.0,40.64154,-111.6372943,True,False,False,S313163387,
mouchi,Mountain Chickadee,Poecile gambeli,L737036,Big Cottonwood Canyon--Spruces CG,2026-03-25 19:09,2.0,40.64154,-111.6372943,True,False,False,S313163387,
truswa,Trumpeter Swan,Cygnus buccinator,L30063711,"913 Peace Road, Kawartha Lakes, Ontario, CA (44.342, -78.541)",2026-03-25 19:07,4.0,44.3424734,-78.5405646,True,False,True,S313137165,
brebla,Brewer's Blackbird,Euphagus cyanocephalus,L34488962,Nanaimo Harbour,2026-03-25 19:07,24.0,49.1675698,-123.934809,True,False,False,S313163291,
rebnut,Red-breasted Nuthatch,Sitta canadensis,L52143883,Dam,2026-03-25 19:07,1.0,49.766647,-94.528884,True,False,True,S313148473,
houfin,House Finch,Haemorhous mexicanus,L15472114,Home,2026-03-25 19:06,1.0,20.71041,-103.36115,True,False,True,S313157749,
